"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	18	965	972	973	0	2	1	0	1	1	2	1	1	0	1	0
0.2	20	963	960	967	3	3	4	1	1	1	1	1	1	1	0	1
0.3	25	968	974	972	1	0	1	0	1	1	1	0	1	0	0	0
0.4	27	969	975	974	1	1	1	2	0	2	0	0	1	1	2	1
0.5	27	967	969	965	2	3	4	1	0	2	0	0	1	0	0	0
0.6	27	972	969	967	1	0	2	1	0	0	0	2	1	1	0	1
0.7	30	970	979	974	2	1	0	1	0	1	1	1	0	2	0	1
0.8	31	974	977	974	1	1	1	0	0	3	1	0	0	0	0	0
0.9	31	967	973	976	0	1	0	1	1	0	1	0	1	2	0	1
1.	32	966	971	966	2	1	1	2	1	2	1	1	1	2	0	0
1.1	35	969	973	969	2	0	1	1	0	1	0	1	1	2	2	0
1.2	36	963	963	967	0	5	1	3	1	1	0	1	0	1	1	3
1.3	36	967	966	972	1	0	0	2	1	1	2	0	1	0	1	1
1.4	39	975	967	973	2	0	2	0	0	0	1	0	1	0	1	0
1.5	46	968	973	973	1	0	2	3	1	0	2	1	0	0	0	0
1.6	51	970	972	967	1	1	2	1	0	0	0	1	1	1	1	0
1.7	54	973	966	963	2	1	2	2	2	0	0	1	0	0	0	1
1.8	54	960	965	967	2	0	2	0	0	1	0	1	1	1	2	1
1.9	57	966	972	970	0	2	0	2	0	1	0	1	1	1	0	1
2.	62	966	975	968	2	0	0	1	2	0	1	2	1	1	1	0
2.1	68	975	967	963	0	0	2	1	2	2	2	2	0	2	0	1
2.2	69	970	969	969	1	0	0	3	0	1	1	1	0	0	0	2
2.3	69	964	970	972	0	2	0	0	4	1	0	1	1	1	0	1
2.4	69	971	972	974	1	2	0	2	0	0	0	1	0	0	0	2
2.5	71	967	973	970	1	1	2	2	0	3	0	3	1	1	1	0
2.6	71	978	964	965	0	1	1	1	0	0	2	1	2	1	0	0
